open,high,low,close,tick_volume,spread,real_volume,state_hat_H2,margin_H2,ctx_session_bucket,ctx_state_age,ctx_dist_vwap_atr,ctx_vwap_source,ctx_vwap_anchor,LOOK_FOR_balance_vwap_proximity,LOOK_FOR_balance_extreme_to_center,LOOK_FOR_balance_compression,LOOK_FOR_balance_vwap_body_deviation,LOOK_FOR_trend_strong_orderly,LOOK_FOR_trend_liquidity_sweep,LOOK_FOR_trend_prev_vwap_pullback,LOOK_FOR_transition_chop_near_vwap,LOOK_FOR_transition_acceptance,quality_label,quality_label_full,base_state
1824.35,1830.07,1824.02,1828.15,0,0,0,1,0.8177033402479617,ASIA,1,,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
1828.11,1829.48,1827.1,1829.44,0,0,0,1,0.8177033402479617,ASIA,1,,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
1829.43,1832.18,1828.83,1831.4,0,0,0,1,0.8177033402479617,ASIA,1,,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
1831.41,1832.09,1830.25,1830.66,0,0,0,1,0.8177033402479617,ASIA,1,,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
1830.62,1832.45,1826.89,1828.19,0,0,0,1,0.8177033402479617,ASIA,2,,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
1828.19,1830.59,1826.92,1828.54,0,0,0,1,0.8177033402479617,ASIA,2,,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
1828.52,1831.03,1828.32,1830.48,0,0,0,1,0.8177033402479617,ASIA,2,,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
1830.41,1839.88,1830.41,1838.41,0,0,0,1,0.8177033402479617,ASIA,2,,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
1838.41,1843.13,1838.41,1841.66,0,0,0,1,0.8177033402479617,ASIA,3,,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
1841.66,1842.1,1840.5,1841.21,0,0,0,1,0.8177033402479617,ASIA,3,,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
1841.22,1842.06,1840.57,1841.17,0,0,0,1,0.8177033402479617,ASIA,3,,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
1841.17,1842.14,1840.35,1840.42,0,0,0,1,0.8177033402479617,ASIA,3,,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
1840.4,1841.16,1837.97,1838.15,0,0,0,1,0.8177033402479617,ASIA,4,,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
1838.16,1840.94,1838.1,1840.37,0,0,0,1,0.8177033402479617,ASIA,4,,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
1840.37,1844.23,1840.33,1841.93,0,0,0,1,0.8177033402479617,ASIA,4,,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
1841.89,1842.3,1839.99,1841.94,0,0,0,1,0.8177033402479617,ASIA,4,,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,0,0,UNCLASSIFIED,TRANSITION_UNCLASSIFIED,TRANSITION
1841.96,1847.61,1841.07,1847.24,0,0,0,1,0.8177033402479617,LONDON,5,,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,0,0,TRANSITION_FAILED,TRANSITION_FAILED,TRANSITION
1847.24,1849.98,1844.8,1847.52,0,0,0,1,0.8177033402479617,LONDON,5,,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,0,0,TRANSITION_FAILED,TRANSITION_FAILED,TRANSITION
1847.54,1848.01,1838.79,1840.56,0,0,0,1,0.8177033402479617,LONDON,5,,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,0,0,TRANSITION_FAILED,TRANSITION_FAILED,TRANSITION
1840.57,1840.61,1834.58,1836.1,0,0,0,1,0.8177033402479617,LONDON,5,,day_anchor_std,ny_rollover_17,0,0,0,0,0,0,0,0,0,TRANSITION_FAILED,TRANSITION_FAILED,TRANSITION
